30376 getPopulationofCountry Palau Zone:3 (turnaround time: 218 ms, execution time: 125 ms, waiting time: 93, processed by server 3)
20667549 getPopulationofCountry Peru Zone:5 (turnaround time: 249 ms, execution time: 156 ms, waiting time: 93, processed by server 5)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 154 ms, execution time: 61 ms, waiting time: 93, processed by server 1)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 280 ms, execution time: 186 ms, waiting time: 94, processed by server 5)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 215 ms, execution time: 122 ms, waiting time: 93, processed by server 1)
4797337 getPopulationofCountry Serbia Zone:2 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 2)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 154 ms, execution time: 61 ms, waiting time: 93, processed by server 4)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 342 ms, execution time: 247 ms, waiting time: 95, processed by server 5)
3226299 getPopulationofCountry Honduras Zone:1 (turnaround time: 184 ms, execution time: 91 ms, waiting time: 93, processed by server 1)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 215 ms, execution time: 122 ms, waiting time: 93, processed by server 4)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 402 ms, execution time: 307 ms, waiting time: 95, processed by server 5)
3226299 getPopulationofCountry Honduras Zone:2 (turnaround time: 153 ms, execution time: 61 ms, waiting time: 92, processed by server 2)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 462 ms, execution time: 369 ms, waiting time: 93, processed by server 5)
22244641 getPopulationofCountry Romania Zone:4 (turnaround time: 123 ms, execution time: 30 ms, waiting time: 93, processed by server 4)
4797337 getPopulationofCountry Serbia Zone:5 (turnaround time: 338 ms, execution time: 246 ms, waiting time: 92, processed by server 5)
22244641 getPopulationofCountry Romania Zone:4 (turnaround time: 185 ms, execution time: 92 ms, waiting time: 93, processed by server 4)
4722032 getPopulationofCountry Guinea Zone:1 (turnaround time: 123 ms, execution time: 32 ms, waiting time: 91, processed by server 1)
20667549 getPopulationofCountry Peru Zone:1 (turnaround time: 155 ms, execution time: 61 ms, waiting time: 94, processed by server 1)
4896738 getPopulationofCountry Tunisia Zone:3 (turnaround time: 186 ms, execution time: 92 ms, waiting time: 94, processed by server 3)
357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 247 ms, execution time: 155 ms, waiting time: 92, processed by server 4)
4797337 getPopulationofCountry Serbia Zone:5 (turnaround time: 400 ms, execution time: 308 ms, waiting time: 92, processed by server 5)
20667549 getPopulationofCountry Peru Zone:1 (turnaround time: 217 ms, execution time: 123 ms, waiting time: 94, processed by server 1)
4797337 getPopulationofCountry Serbia Zone:5 (turnaround time: 462 ms, execution time: 370 ms, waiting time: 92, processed by server 5)
1070 getPopulationofCountry Tokelau Zone:3 (turnaround time: 123 ms, execution time: 30 ms, waiting time: 93, processed by server 3)
20667549 getPopulationofCountry Peru Zone:1 (turnaround time: 278 ms, execution time: 185 ms, waiting time: 93, processed by server 1)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 3)
1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 157 ms, execution time: 64 ms, waiting time: 93, processed by server 4)
20667549 getPopulationofCountry Peru Zone:1 (turnaround time: 340 ms, execution time: 249 ms, waiting time: 91, processed by server 1)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 112 ms, execution time: 32 ms, waiting time: 80, processed by server 4)
183952128 getPopulationofCountry United States Zone:1 (turnaround time: 329 ms, execution time: 237 ms, waiting time: 92, processed by server 1)
53444559 getPopulationofCountry Pakistan Zone:1 (turnaround time: 390 ms, execution time: 297 ms, waiting time: 93, processed by server 1)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 172 ms, execution time: 92 ms, waiting time: 80, processed by server 5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 235 ms, execution time: 141 ms, waiting time: 94, processed by server 5)
53444559 getPopulationofCountry Pakistan Zone:1 (turnaround time: 454 ms, execution time: 361 ms, waiting time: 93, processed by server 1)
233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 171 ms, execution time: 79 ms, waiting time: 92, processed by server 3)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 110 ms, execution time: 16 ms, waiting time: 94, processed by server 2)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 171 ms, execution time: 75 ms, waiting time: 96, processed by server 2)
130745096 getPopulationofCountry Brazil Zone:5 (turnaround time: 295 ms, execution time: 202 ms, waiting time: 93, processed by server 5)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 485 ms, execution time: 391 ms, waiting time: 94, processed by server 1)
62864801 getPopulationofCountry Turkey Zone:4 (turnaround time: 141 ms, execution time: 47 ms, waiting time: 94, processed by server 4)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 235 ms, execution time: 141 ms, waiting time: 94, processed by server 2)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 548 ms, execution time: 454 ms, waiting time: 94, processed by server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 610 ms, execution time: 530 ms, waiting time: 80, processed by server 1)
7089788 getPopulationofCountry Belarus Zone:2 (turnaround time: 295 ms, execution time: 203 ms, waiting time: 92, processed by server 2)
2972660 getPopulationofCountry Slovakia Zone:3 (turnaround time: 171 ms, execution time: 77 ms, waiting time: 94, processed by server 3)
2972660 getPopulationofCountry Slovakia Zone:3 (turnaround time: 230 ms, execution time: 137 ms, waiting time: 93, processed by server 3)
8434068 getPopulationofCountry Greece Zone:2 (turnaround time: 294 ms, execution time: 214 ms, waiting time: 80, processed by server 2)
16212029 getPopulationofCountry Thailand Zone:1 (turnaround time: 511 ms, execution time: 418 ms, waiting time: 93, processed by server 1)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 448 ms, execution time: 356 ms, waiting time: 92, processed by server 1)
7301292 getPopulationofCountry Switzerland Zone:3 (turnaround time: 292 ms, execution time: 200 ms, waiting time: 92, processed by server 3)
2972660 getPopulationofCountry Slovakia Zone:2 (turnaround time: 262 ms, execution time: 170 ms, waiting time: 92, processed by server 2)
6275101 getPopulationofCountry Guatemala Zone:4 (turnaround time: 140 ms, execution time: 47 ms, waiting time: 93, processed by server 4)
4797337 getPopulationofCountry Serbia Zone:3 (turnaround time: 107 ms, execution time: 16 ms, waiting time: 91, processed by server 3)
